shot,start_s,end_s_exclusive,duration_s,start_frame_0based,end_frame_exclusive,visual_class,observed_visual_action_framing,narration_beat_paraphrase,editorial_purpose_inference,incoming_transition,outgoing_transition,asr_words_overlapping_shot,boundary_evidence,source_status
11,18.852186,20.286954,1.435,565,608,3d_micro,Multicolored particles carried down red tunnel,Inflammatory proteins named,Finish inventory with new material,hard cut,hard visual edit,inflammatory proteins. All,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
12,20.286954,22.088755,1.802,608,662,3d_micro,Mixed debris and yellow masses wash away to reveal clear pink tube,Collection and draining,Resolve the preceding inventory through visible action,hard cut,hard visual edit,All of it gets collected and drained out.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
13,22.088755,24.424424,2.336,662,732,human_lifestyle,Woman plays with two children in sunny garden; full-body active composition,Healthy-function payoff,Translate invisible function into ordinary participation,hard cut,hard visual edit,"When it's working, your body stays lean,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
14,24.424424,25.625626,1.201,732,768,human_lifestyle,Woman chops vegetables in kitchen,Clear and fluid feeling,Second everyday setting keeps healthy-function passage moving,hard cut,hard visual edit,"clear, and fluid. When",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
15,25.625626,28.695362,3.07,768,860,3d_obstruction,Yellow mass blocks pink tunnel; fluid/debris accumulates,Clogging claim,Reverse clean flow into blockage at narrative reversal,hard cut,hard visual edit,"When it gets clogged, and it clogs more than most people realize, that",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
16,28.695362,30.263597,1.568,860,907,3d_network,Yellow nodules expand at branching junction,Waste has nowhere to go,Move from tunnel obstruction to network accumulation,hard cut,hard visual edit,"that waste has nowhere to go, so",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
17,30.263597,34.167501,3.904,907,1024,human_symptom,Front face close-up; cheeks appear to swell during shot,Morning facial puffiness,Return to visible recognition after causal explanation,hard cut,hard visual edit,"so it pools. In your face, as morning puffiness that won't go away. In",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
18,34.167501,37.203871,3.036,1024,1115,human_symptom,Three-quarter close-up; fingers touch jaw and under chin,Jaw softness,A diagnostic-looking gesture identifies exact concern,hard cut,hard visual edit,"In your jaw, as softness that wasn't there a few years ago. In",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
19,37.203871,39.372706,2.169,1115,1180,human_symptom,Neck-down side torso in pale top; belly expands,Stomach bloating,Body-part framing gives direct visual correspondence,hard cut,hard visual edit,"In your stomach, as bloating that shows up even",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
20,39.372706,41.107774,1.735,1180,1232,human_symptom,Seated woman touches abdomen beside salad and water,Symptoms despite clean eating,Show contradiction within one frame: effort plus persistent discomfort,hard cut,hard visual edit,even on your cleanest eating days. In,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
21,41.107774,44.444444,3.337,1232,1332,human_symptom,Waist-down legs in teal shorts; legs appear larger through shot,Leg heaviness and swelling,Locate symptom lower in body and change image scale,hard cut,hard visual edit,"In your legs, as heaviness and swelling that builds throughout the day. And",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
22,44.444444,46.146146,1.702,1332,1383,human_frustration,Woman at laptop presses temples and looks frustrated,Misunderstanding pivot,Human pause bridges symptom list to wrong explanations,hard cut,hard visual edit,And here's where most women get it wrong. They,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
23,46.146146,47.280614,1.134,1383,1417,human_symptom,Woman looks down and rubs thighs outside,Cellulite label,Literal body area for first mislabel,hard cut,hard visual edit,They call it cellulite. They,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
24,47.280614,48.748749,1.468,1417,1461,human_symptom,Seated woman rubs knee/calf,Water retention label,New posture and action for related concern,hard cut,hard visual edit,They call it water retention. They,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
25,48.748749,49.816483,1.068,1461,1493,human_frustration,Woman in navy top at office desk touches forehead,Edema label,This is generic distress imagery; symptom specificity is weaker than adjacent shots,hard cut,hard visual edit,They call it edema. They,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
26,49.816483,51.151151,1.335,1493,1533,human_symptom,Woman inspects stomach in mirror,Stubborn fat label,Self-assessment gesture anchors perceived cause,hard cut,hard visual edit,They call it stubborn fat. They,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
27,51.151151,52.118785,0.968,1533,1562,human_failed_solution,Woman puts vegetables in grocery cart,Diet attempt,Show concrete attempted behavior,hard cut,hard visual edit,"They go on diets, book",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
28,52.118785,53.420087,1.301,1562,1601,human_failed_solution,Close face massage on treatment bed,Lymphatic massage attempt,New setting and hands-on action,hard cut,hard visual edit,"book lymphatic massages, drink",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
29,53.420087,54.287621,0.868,1601,1627,human_failed_solution,Woman raises and drinks a water glass,Drinking more water,Exact verb match with very short insert,hard cut,hard visual edit,"drink more water,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
30,54.287621,55.455455,1.168,1627,1662,human_failed_solution,Seated woman pulls up compression stocking,Compression socks,Show use rather than static object,hard cut,hard visual edit,try compression socks because,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
31,55.455455,57.657658,2.202,1662,1728,human_frustration,Woman checks cheek in mirror looking worried,Nobody explained actual cause,Return to affected person before reframe,hard cut,hard visual edit,because nobody told them what was actually happening. It's,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
32,57.657658,58.525192,0.868,1728,1754,human_symptom,Hands pinch belly in black underwear,Not fat assertion,Show rejected explanation while narration rejects it,hard cut,hard visual edit,It's not fat. It's,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
33,58.525192,59.392726,0.868,1754,1780,human_symptom,Frontal face appears to age; hair shifts gray,Not aging assertion,Second rejected explanation via visual transformation,hard cut,hard visual edit,It's not aging. It's,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
34,59.392726,64.698031,5.305,1780,1939,3d_obstruction,Pink passage filled with large yellow lumps; forward interior move,Backed-up waste reframe,Reveal the proposed hidden cause after two visible alternatives,hard cut,hard visual edit,"It's backed up lymphatic waste that your body has been trying to drain for months, maybe years, and can't. And",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
35,64.698031,66.399733,1.702,1939,1990,human_failed_solution,Woman eats small salad at table,Cutting calories does not drain it,Repeat behavior category with a different concrete action from grocery shot,hard cut,hard visual edit,And cutting calories doesn't drain it. Exercise,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
36,66.399733,69.102436,2.703,1990,2071,human_failed_solution,Woman jogs on path in black sportswear,Exercise only temporarily moves it,Visible motion embodies effort while narration limits result,hard cut,hard visual edit,"Exercise moves it temporarily, but doesn't dissolve it.",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
37,69.102436,71.071071,1.969,2071,2130,human_failed_solution,Wide body massage scene on spa bed,External massage cannot reach deep tissue,Different massage view and body region; physically introduces outside versus inside,hard cut,hard visual edit,"External massage pushes it around, but",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
38,71.071071,73.440107,2.369,2130,2201,3d_tissue,Cutaway branching vessel filled with hardened-looking clusters,Deep tissue limitation,Cut inward on cannot reach; reveal claimed inaccessible location,hard cut,hard visual edit,but can't reach what's hardened deep in your tissues. The,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
39,73.440107,75.475475,2.035,2201,2262,3d_clearance,Vertical channel clears as yellow balls move away,Clear from inside,Establish solution action before naming ingredient,hard cut,hard visual edit,The only way to clear it is from the inside.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
40,75.475475,78.845512,3.37,2262,2363,ingredient_metaphor,Black ribbon-like strands contact glowing node; yellow clump breaks apart,Black seed active ingredient,Visual black motif distinguishes first ingredient,hard cut,hard visual edit,"Thimoquinone, the active compound in black seed oil, supports",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
41,78.845512,83.683684,4.838,2363,2508,3d_clearance,Red tunnel lined with yellow deposits clears progressively,Healthy inflammatory response claim,Hold several seconds so the clearing action completes,hard cut,hard visual edit,"supports a healthy inflammatory response, so your lymph can finally do its job again.",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
42,83.683684,85.385385,1.702,2508,2559,human_symptom,Woman holds abdomen and grimaces in kitchen,Second revelation setup,Brief human reanchor before another long scientific passage,hard cut,hard visual edit,And here's what most women don't know. More,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
43,85.385385,88.855522,3.47,2559,2663,3d_gut_network,Dark intestinal tissue with luminous orange branching network,Lymphatic tissue in gut claim,Change scientific scale and anatomy for new idea,hard cut,hard visual edit,More than 60 % of your lymphatic tissue lives in your gut.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
44,88.855522,91.524858,2.669,2663,2743,3d_gut_microbes,Intestinal wall with black rod-like organisms and green discoloration,Gut bacterial imbalance,Different location and material distinguish cause from prior blockage,hard cut,hard visual edit,"When the bacteria in your gut are out of balance,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
45,91.524858,94.828161,3.303,2743,2842,3d_gut_network,Branching channels by gut with green fluid/particles clear during shot,Gut-lymph backup claim,Show local connection instead of whole-body torso,hard cut,hard visual edit,your lymph backs up right where it should be running the cleanest.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
46,94.828161,97.697698,2.87,2842,2928,ingredient_metaphor,Bright yellow branch and green botanical/particle shapes surround a glowing node,Oregano active ingredient,Contrasting color/material distinguishes second ingredient,hard cut,hard visual edit,"Carvacrol, the active compound in oregano oil,",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
47,97.697698,99.966633,2.269,2928,2996,3d_gut_microbes,Green rods white curved shapes and blue spheres float above gut surface,Microbial balance support,Populate the actual implied site of action,hard cut,hard visual edit,supports a healthy gut microbial balance and,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
48,99.966633,101.801802,1.835,2996,3051,3d_gut_microbes,Top-down circular gut opening; green-white organisms cluster and blue spheres move outward,Crowding out unwanted bacteria,Change geometry to make displacement legible,hard cut,hard visual edit,"and crowds out the bad bacteria, so",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
49,101.801802,104.070737,2.269,3051,3119,3d_gut_clearance,Forward view down clean pink tube with fewer organisms,Connection runs clean,Finish mechanism passage with clear-state visual,hard cut,hard visual edit,so the gut -lymph connection runs clean again.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
50,104.070737,106.17284,2.102,3119,3182,product_human,Smiling woman presents Resilia oil-of-oregano pouch at kitchen table,Product reveal,Connect completed ingredient explanation to purchasable product,hard cut,hard visual edit,That's the formula inside Resilia. Two,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
51,106.17284,110.710711,4.538,3182,3318,product_usage,Woman shows capsules in palm then puts them in mouth and drinks water; pouch stays visible,Two softgels daily routine,Demonstrate action chain and convenience in one continuous shot,hard cut,hard visual edit,Two soft gals every morning. The right doses of both compounds in one capsule.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
52,110.710711,113.04638,2.336,3318,3388,human_outcome,Woman touches face at mirror with pouch in foreground,Week two facial change,Revisit earlier concern in now-positive context,hard cut,hard visual edit,Week two. The face puffiness starts lifting.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
53,113.04638,114.981648,1.935,3388,3446,human_outcome,Closer face framing; fingers trace jaw then woman smiles,Jaw definition,Punch closer to specific outcome; this is similar composition not a new distinct scene,hard cut,hard visual edit,lifting. The jaw definition comes back.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
54,114.981648,116.349683,1.368,3446,3487,human_outcome,Waist-down legs in denim shorts; feet shift slightly,Leg heaviness drops,Return to previously established symptom region,hard cut,hard visual edit,The leg heaviness drops.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
55,116.349683,118.418418,2.069,3487,3549,human_anatomy_hybrid,Full body in teal top and denim shorts; yellow deposits disappear and waist changes,Week four belly flattening,Transformation metaphor visually closes mechanism loop,hard cut,hard visual edit,Week four. The belly flattens. The,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
56,118.418418,119.552886,1.134,3549,3583,human_outcome,Mirror body view; hands at waist/abdomen then relieved smile,Bloat clears,Human reaction gives emotional payoff after transformation,hard cut,hard visual edit,The bloat clears. And,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
57,119.552886,120.487154,0.934,3583,3611,human_outcome,Close smiling face and hand at chin,Realization,Carry emotional resolution into recap,hard cut,hard visual edit,And women realize what,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
58,120.487154,123.323323,2.836,3611,3696,human_anatomy_hybrid,Transparent full body with skeleton and large yellow nodules in living room,Prior fat/cellulite interpretation,Recap original hidden-cause motif at another scale,hard cut,hard visual edit,what they'd been calling fat or cellulite for years was,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
59,123.323323,126.826827,3.504,3696,3801,3d_clearance,Branching pink channels release yellow particles until clearer,Body lacked tools claim,Recap invisible solution action,hard cut,hard visual edit,was actually something their body simply never had the tools to handle. Most,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
60,126.826827,130.563897,3.737,3801,3913,human_shopping,Over-shoulder phone browsing beside water glass,Other supplements on Amazon,Turn comparison into recognizable shopping task,hard cut,hard visual edit,"Most supplements on Amazon only have one of these oils, not both.",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
61,130.563897,132.232232,1.668,3913,3963,human_shopping,Woman compares two supplement bottles in store aisle,Competitors may contain both oils,Concrete choice between physical alternatives,hard cut,hard visual edit,And the ones that do have both barely,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
62,132.232232,134.067401,1.835,3963,4018,human_shopping,Close concerned face looking down at labels,Low ingredient amounts claim,Reaction crop emphasizes dissatisfaction,hard cut,hard visual edit,barely have any thimoquinone or,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
63,134.067401,135.602269,1.535,4018,4064,product_comparison,Hands and bottles close-up with shelves behind,Named ingredient amounts,Shift from reaction to object being evaluated,hard cut,hard visual edit,or carvacrol in them.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
64,135.602269,138.605272,3.003,4064,4154,lab_authority,Wide lab technicians with gloves glassware US flag and Resilia pouch on foreground bench,Brand formulation and dose claim,Switch to manufacturing/precision visual code; scene itself is not proof,hard cut,hard visual edit,Resilia formulates both at the right doses in one soft,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
65,138.605272,139.239239,0.634,4154,4173,lab_authority,Close gloved hands pipette into flask,One softgel formulation claim,Action detail reinforces precision and changes image scale,hard cut,hard visual edit,soft gel. If,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
66,139.239239,141.474808,2.236,4173,4240,product_cta,Seated smiling woman holds pouch and points down; green shop-now button,Link below,Gesture and graphic direct same action,hard cut,hard visual edit,"If you want to try it, the link is below.",boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
67,141.474808,146.112779,4.638,4240,4379,product_offer,Same seated product scene resets framing; large top discount and guarantee copy appears,Discount and guarantee,Dedicated offer layout makes commercial terms prominent,hard visual edit; offer overlay plus composition reset,hard visual edit,Resilia is up to 70 % off right now with a 30 -day money -back guarantee.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
68,146.112779,148.048048,1.935,4379,4437,product_packshot,Several pouches herbs seeds capsules and water glass on wooden counter,Final deal reminder,Stable product-recognition end hold,hard cut,end of source,Grab the deal while it's still running.,boundary-01.jpg through boundary-12.jpg; frame labels locate corresponding boundary,Public ad video; human footage and visualizations production provenance unverified
