id,start_frame,end_frame_exclusive,start_seconds,end_seconds,duration_seconds,incoming,observed_visual,dialogue_function,inferred_editorial_purpose
15,708,759,23.6,25.3,1.7,hard cut,A addressing B in two-shot,Future-self teasing,Make an abstract future exhibit personally relevant.
16,759,813,25.3,27.1,1.8,hard cut,"B close-up, defensive expression then smile",Rejection of unwanted future,Have a character reject the identity before the desired alternative appears. Reframe at f781 stays inside this shot.
17,813,847,27.1,28.233333,1.133333,hard cut,Teacher turns and leaves frame,Move the class onward,Motivate a scene transition through a character action.
18,847,897,28.233333,29.9,1.666667,hard cut,Children walk laterally past first exhibit,Travel between exhibits,Maintain museum geography; walking acts as connective tissue.
19,897,1050,29.9,35.0,5.1,dissolve onset,First exhibit overlaps pickup / standing-man exhibit,Change of historical baseline,"Blend approximately f897–916; new image is clean by f917. This is a chapter transition, not a hard cut at its midpoint."
20,1050,1086,35.0,36.2,1.2,hard cut,"A close-up, impressed",Aspirational reaction,Let a face endorse the reveal after a longer exhibit hold.
21,1086,1120,36.2,37.333333,1.133333,hard cut,B close-up,Teasing about present stamina,Keep the wish grounded in the children’s imperfections.
22,1120,1153,37.333333,38.433333,1.1,hard cut,A close-up,Comic self-defense,Avoid turning admiration into a solemn lecture.
23,1153,1193,38.433333,39.766667,1.333333,hard cut,C close-up,Dry reaction,Continue character-specific rhythmic variety.
24,1193,1278,39.766667,42.6,2.833333,hard cut,"Three children, B most prominent",Question about the earlier baseline,Turn visual contrast into an explicit reconsideration of normality; hold a listener while an answer arrives.
25,1278,1353,42.6,45.1,2.5,hard cut,"Teacher beside standing muscular man, explanatory hand gesture",Mineral-removal causal assertion,Keep supposed authority and desirable body together while making the causal claim. The image illustrates an assertion; it does not establish it.
26,1353,1393,45.1,46.433333,1.333333,hard cut,C close-up,Question about the reason for removal,Shift the question from whether the premise is true to why anyone would do it.
27,1393,1463,46.433333,48.766667,2.333333,hard cut,Teacher close-up,Deferral of the explanation,"Create an unresolved, suggestive knowledge gap."
28,1463,1508,48.766667,50.266667,1.5,hard cut,Children viewed through glass beside oversized exhibit body,Admiration / superhero analogy,Use scale and the children’s gaze to elevate the figure.
29,1508,1571,50.266667,52.366667,2.1,hard cut,Muscular forearm detail and children in reflection,Everyday strength analogy,"Make admiration concrete in an object-level detail; this is illustrative coverage of strength, not a scientific mechanism insert."
30,1571,1603,52.366667,53.433333,1.066667,hard cut,B side close-up,Question to peer,Reopen social dialogue after the body detail.
31,1603,1641,53.433333,54.7,1.266667,hard cut,C close-up,Confident peer endorsement,Give the previously skeptical child a positive position.
32,1641,1696,54.7,56.533333,1.833333,hard cut,A close-up,Strong admiration,Build emotional preference before branding.
33,1696,1738,56.533333,57.933333,1.4,hard cut,"B close-up, turns to others",Desired future self,Make the identity choice explicit.
34,1738,1760,57.933333,58.666667,0.733333,hard cut,"A close-up, smiling",Agreement,Reinforce the choice through another character.
35,1760,1791,58.666667,59.7,1.033333,hard cut,"C close-up, smiling",Third agreement,Complete the three-character consensus.
36,1791,1798,59.7,59.933333,0.233333,cut to black,Brief black interval; outgoing caption initially persists,Chapter break,Close the identity section. f1791–1797 is black or near-black; this is not a cross-dissolve.
37,1798,1879,59.933333,62.633333,2.7,fade in,Teacher walks toward lit product pedestal; children follow,Discovery of third exhibit,Image emerges from black through about f1808; the bottle is visible as an object around 60s before its dedicated packshot.
38,1879,1960,62.633333,65.333333,2.7,hard cut,"Teacher close-up, bottle blurred at bottom",Restoration explanation,Introduce the solution category within the same scene and authority relationship.
39,1960,1999,65.333333,66.633333,1.3,hard cut,"C at pedestal edge, wide eyes",Surprise at belated recognition,Use a reaction to keep the educational section conversational.
40,1999,2038,66.633333,67.933333,1.3,hard cut,Teacher close-up,Short confirmation,Maintain guide-child rhythm.
41,2038,2085,67.933333,69.5,1.566667,hard cut,A behind pedestal,Question about delay,Renew the insinuation that an obvious answer took too long.
42,2085,2153,69.5,71.766667,2.266667,hard cut,Teacher close-up,Non-specific answer,Sustain the implied hidden history without resolving it.
43,2153,2335,71.766667,77.833333,6.066667,hard cut,"Dedicated Menerals bottle, earth and crystals, golden beam",Formula / source / purpose claims,Hold 6.067s so the label and category explanation can register. Slow scale/reframe changes; no cut on each caption.
44,2335,2391,77.833333,79.7,1.866667,hard cut,B close-up,Surprise at ingredient count,Repeat a headline feature through audience-surrogate dialogue.
45,2391,2433,79.7,81.1,1.4,hard cut,Teacher close-up,Confirmation,A terse response makes the feature sound settled.
46,2433,2473,81.1,82.433333,1.333333,hard cut,A leaning over pedestal,Question about capsule simplicity,Contrast a large claimed ingredient count with a small action.
47,2473,2503,82.433333,83.433333,1.0,hard cut,Teacher close-up,Confirmation,Complete the feature-friction exchange.
48,2503,2644,83.433333,88.133333,4.7,hard cut,C in foreground / original sedentary exhibit behind; camera travels to B then A,Callback joke and laughter,"Reconnect the product to the initial problem. f2573, f2578 and f2610–2623 detector spikes are lateral movement / reframing within this passage, not separate base-shot changes."
49,2644,2698,88.133333,89.933333,1.8,hard cut,"Bottle sharp in foreground, children soft behind",Teacher’s closing admonition / end hold,"Preserve character warmth while making the product the final focal point; 1.8s final composition, no visible purchase card."
