event,start_frame,visual_class,visual,story_role,purpose_inferred,end_frame_exclusive,start_seconds,end_seconds,duration_seconds,narration_asr_approx,incoming,outgoing,evidence,timing_basis
E025,1207,object,Hand presses raw meat on yellow plate with white string-like material,exposure example,Literal food-related referent,1236,48.28,49.44,1.16,Undercooked food.,Direct cut / appearance,"To Bathroom faucet runs brown liquid into sink, bright/blur entry",frames/01207.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E026,1236,object,"Bathroom faucet runs brown liquid into sink, bright/blur entry",exposure example,Literal water-related referent,1266,49.44,50.64,1.2,Contaminated water.,Cut with brief bright/blurred incoming treatment,"To First-person hand turns silver doorknob, bright/blur entry",frames/01236.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E027,1266,object,"First-person hand turns silver doorknob, bright/blur entry",exposure example,Show the contact action,1297,50.64,51.88,1.24,Touching doorknobs. Even,Cut with brief bright/blurred incoming treatment,To Woman seated in armchair cuddles small black-and-white pet,frames/01266.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E028,1297,human,Woman seated in armchair cuddles small black-and-white pet,exposure example,Connect proposed exposure to normal affection,1323,51.88,52.92,1.04,Even our pets. Once,Cut with brief bright/blurred incoming treatment,To Cool-blue microscopic organism/appendage animation,frames/01297.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E029,1323,mechanism,Cool-blue microscopic organism/appendage animation,scale change,Travel conceptually from everyday world to inside body,1369,52.92,54.76,1.84,"Once inside, they don't just sit there. They",Direct cut / appearance,To Seated presenter,frames/01323.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E030,1369,presenter,Seated presenter,explanatory emphasis,State the next process,1391,54.76,55.64,0.88,They immediately start,Direct cut / appearance,To Endoscopic-style worm within pink intestinal tunnel,frames/01369.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E031,1391,mechanism,Endoscopic-style worm within pink intestinal tunnel,process,Show an internal resident at the process cue,1447,55.64,57.88,2.24,start building something called biofilm. A,Direct cut / appearance,To Seated presenter,frames/01391.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E032,1447,presenter,Seated presenter,definition bridge,Introduce plain-language explanation,1464,57.88,58.56,0.68,A protective slime,Direct cut / appearance,To Simple labeled blue-red biofilm illustration on white over chest,frames/01447.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E033,1464,mechanism-inset,Simple labeled blue-red biofilm illustration on white over chest,definition,Let a small schematic annotate an unfamiliar term,1562,58.56,62.48,3.92,"slime shield that can make them up to 1 ,000 times harder to get rid of.",Direct cut / appearance,To Spherical sacs filled with worm-like forms in brown tissue; moving close view,frames/01464.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E034,1562,mechanism,Spherical sacs filled with worm-like forms in brown tissue; moving close view,process escalation,Visualize protected multiplication,1658,62.48,66.32,3.84,"And behind that shield, they multiply. Every single day. Reproducing.",Direct cut / appearance,To Purple particles around branching fibrous structures,frames/01562.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E035,1658,mechanism,Purple particles around branching fibrous structures,process escalation,Vary microscopic scale for spreading language,1715,66.32,68.6,2.28,Reproducing. Spreading. Getting stronger. That,Direct cut / appearance,To Seated presenter,frames/01658.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E036,1715,presenter,Seated presenter,objection bridge,Connect mechanism story to a frustrating clinical experience,1746,68.6,69.84,1.24,That could be why your doctor says,Direct cut / appearance,"To Woman in white coat and stethoscope holds clipboard, adjusts glasses",frames/01715.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E037,1746,human,"Woman in white coat and stethoscope holds clipboard, adjusts glasses",authority reenactment,"Represent the claimed doctor interaction, not verified medical authority",1781,69.84,71.24,1.4,says everything looks normal.,Direct cut / appearance,To Full-frame printed lab-style report; camera moves down paper,frames/01746.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E038,1781,document,Full-frame printed lab-style report; camera moves down paper,claimed proof,Make the test-result topic tangible,1820,71.24,72.8,1.56,Standard tests often can't,Direct cut / appearance,To Same report darkened with oval highlight; red arrow subsequently appears,frames/01781.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E039,1820,document,Same report darkened with oval highlight; red arrow subsequently appears,claimed proof emphasis,Direct attention to a specific result area; authenticity unverified,1878,72.8,75.12,2.32,can't see parasites hiding behind biofilm. They're,Direct cut / appearance,To Seated presenter,frames/01820.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E040,1878,presenter,Seated presenter,consequence setup,Move from proposed invisibility to daily effects,1971,75.12,78.84,3.72,"They're invisible to the system. While they've been hiding, here's what they've been doing.",Direct cut / appearance,To Worm-like forms reach food material inside intestinal tunnel,frames/01878.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E041,1971,mechanism,Worm-like forms reach food material inside intestinal tunnel,cause,Illustrate proposed nutrient interception,2058,78.84,82.32,3.48,They can steal nutrients from your food before your body can absorb them. That,Direct cut / appearance,To Woman at laptop slumps and rubs head beside window blinds,frames/01971.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E042,2058,human,Woman at laptop slumps and rubs head beside window blinds,consequence,Translate invisible nutrient story into observable fatigue,2133,82.32,85.32,3.0,That could be why you're exhausted no matter how much you sleep. They're,Direct cut / appearance,To Seated presenter,frames/02058.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E043,2133,presenter,Seated presenter,interpretation,Land the energy consequence verbally,2167,85.32,86.68,1.36,They're eating your energy. They can,Direct cut / appearance,To Red blood cells travel through vessel as green cloud spreads,frames/02133.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E044,2167,mechanism,Red blood cells travel through vessel as green cloud spreads,cause,Illustrate proposed bloodstream transport,2227,86.68,89.08,2.4,release toxic waste into your bloodstream that,Direct cut / appearance,"To Brain image dissolves over vessel, isolated by frame2236",frames/02167.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E045,2227,mechanism,"Brain image dissolves over vessel, isolated by frame2236",cause destination,Visually connect transport to destination rather than reset with unrelated image,2271,89.08,90.84,1.76,that travels straight to your brain. Which could,Cross-dissolve begins f2227; isolated brain by f2236,To Seated presenter,frames/02227.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E046,2271,presenter,Seated presenter,interpretation,Connect brain image back to experience,2300,90.84,92.0,1.16,could be the brain fog.,Direct cut / appearance,"To Side-view gray-shirt woman pauses, closes eyes and looks down",frames/02271.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E047,2300,human,"Side-view gray-shirt woman pauses, closes eyes and looks down",consequence,Represent trouble recalling words,2336,92.0,93.44,1.44,Why you forget words. They,Direct cut / appearance,To Worm-like forms among white sugar-like material in gut,frames/02300.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E048,2336,mechanism,Worm-like forms among white sugar-like material in gut,cause,Show proposed feeding process,2393,93.44,95.72,2.28,They can feed on sugar and actually hijack your,Direct cut / appearance,To Open box of doughnuts in ordinary room,frames/02336.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E049,2393,object,Open box of doughnuts in ordinary room,consequence,Move to recognizable food craving cue,2440,95.72,97.6,1.88,your cravings to make you feed them more.,Direct cut / appearance,To Seated presenter,frames/02393.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E050,2440,presenter,Seated presenter,reassurance/reframe,Deliver interpretation about failed willpower,2541,97.6,101.64,4.04,That could be why willpower never worked. They can trigger inflammation everywhere.,Direct cut / appearance,To Red irritated spots on inner gut wall,frames/02440.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E051,2541,mechanism,Red irritated spots on inner gut wall,specific system,Locate the named gut process,2561,101.64,102.44,0.8,Your gut. Your joints.,Direct cut / appearance,To Blue human upper-body diagram with highlighted red joints,frames/02541.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E052,2561,mechanism,Blue human upper-body diagram with highlighted red joints,specific system,Change the scientific view for joint language,2588,102.44,103.52,1.08,joints. Your whole system.,Direct cut / appearance,"To Seated presenter, direct eye contact",frames/02561.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E053,2588,presenter,"Seated presenter, direct eye contact",emotional accumulation,"Hold face for blame, aging and lost-time argument",2797,103.52,111.88,8.36,"system. And while you've been blaming yourself, blaming aging, blaming stress, they've been stealing your retirement. Year after year. Night after night. The",Direct cut / appearance,To Woman plays blocks beside child in living room,frames/02588.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E054,2797,human,Woman plays blocks beside child in living room,stakes,Show a valuable activity at risk,2838,111.88,113.52,1.64,The energy to play with your grandkids.,Direct cut / appearance,"To Same setting but woman slumps, grayscale and large red STOLEN",frames/02797.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E055,2838,human-effect,"Same setting but woman slumps, grayscale and large red STOLEN",loss contrast,Turn desired activity into denied activity at consequence cue,2863,113.52,114.52,1.0,Stolen. The,Within-beat edit/effect event; not necessarily a new source clip,To Woman smiles and gestures in car selfie,frames/02838.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E056,2863,human,Woman smiles and gestures in car selfie,stakes,Show easy conversation as another valued ability,2894,114.52,115.76,1.24,clarity to enjoy a conversation.,Direct cut / appearance,To Car image becomes grayscale; red STOLEN appears while the expression subsequently changes,frames/02863.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E057,2894,human-effect,Car image becomes grayscale; red STOLEN appears while the expression subsequently changes,loss contrast,Turn social ease into denied ability,2930,115.76,117.2,1.44,conversation. Stolen. The,Within-beat edit/effect event; not necessarily a new source clip,"To Close waist in white top and pale trousers, hand moves near side",frames/02894.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E058,2930,human,"Close waist in white top and pale trousers, hand moves near side",stakes,Represent familiar body/clothing relationship,2980,117.2,119.2,2.0,The body you used to recognize in the mirror.,Direct cut / appearance,"To Different tighter abdomen view in dark top, grayscale and red STOLEN",frames/02930.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E059,2980,human-effect,"Different tighter abdomen view in dark top, grayscale and red STOLEN",loss contrast,Create body-recognition loss contrast; not calibrated before/after evidence,3007,119.2,120.28,1.08,Stolen. But here's,Within-beat edit/effect event; not necessarily a new source clip,To Seated presenter,frames/02980.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E060,3007,presenter,Seated presenter,hope bridge,Move from loss toward agency before naming ingredient,3170,120.28,126.8,6.52,here's the good news. You can take it all back. And here's exactly what's been helping women just like you finally do it.,Direct cut / appearance,To Hand holds wooden plate of green oregano and clear oil jar outdoors,frames/03007.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E061,3170,ingredient,Hand holds wooden plate of green oregano and clear oil jar outdoors,solution ingredient,Show recognizable raw material before claimed function,3263,126.8,130.52,3.72,Oil of oregano at 85 % carvacrol concentration is,Direct cut / appearance,To Microscope-looking threadlike forms with oil-droplet arrows; radial zoom entry,frames/03170.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E062,3263,mechanism,Microscope-looking threadlike forms with oil-droplet arrows; radial zoom entry,solution action,Connect ingredient to process; lab authenticity and efficacy not verified,3381,130.52,135.24,4.72,is one of the few natural compounds that can help your body get through biofilm. It,Radial zoom-blur handoff,To Golden liquid pours across worm-filled sacs and bubbles in tissue,frames/03263.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E063,3381,mechanism,Golden liquid pours across worm-filled sacs and bubbles in tissue,solution action,Animate the script's barrier-break action in the previously established environment,3513,135.24,140.52,5.28,It can help your body break through that shield so the parasites have a much harder time hiding behind it. Making,Direct cut / appearance,To Microscope-looking organism changes shape/loses structure,frames/03381.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E064,3513,mechanism,Microscope-looking organism changes shape/loses structure,solution action,Use close action to depict loss of attachment,3586,140.52,143.44,2.92,"Making it a hell of a lot harder for them to stay latched on,",Direct cut / appearance,To Different microscope-looking segmented organism disintegrates,frames/03513.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E065,3586,mechanism,Different microscope-looking segmented organism disintegrates,solution action,Switch visible subject for multiplication language,3656,143.44,146.24,2.8,"stay multiplying, stay running your life.",Direct cut / appearance,To Lateral blur into hand-held plate of black seeds and dark oil outdoors,frames/03586.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E066,3656,ingredient,Lateral blur into hand-held plate of black seeds and dark oil outdoors,second ingredient,Introduce distinct raw material using matching ingredient setup,3723,146.24,148.92,2.68,"And black seed oil contains thimoquinone, which",Brief lateral blur handoff,To Seated presenter,frames/03656.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E067,3723,presenter,Seated presenter,role explanation,Explain second ingredient's job,3797,148.92,151.88,2.96,which supports your body's natural inflammatory response and,Direct cut / appearance,To Dark stream moves through intestinal tunnel amid small white forms,frames/03723.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E068,3797,mechanism,Dark stream moves through intestinal tunnel amid small white forms,solution action,Depict flushing/movement,3904,151.88,156.16,4.28,and helps your system flush out the waste those parasites have been leaving behind. Calms,Direct cut / appearance,To Clean stylized orange intestinal tunnel with particles,frames/03797.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E069,3904,mechanism,Clean stylized orange intestinal tunnel with particles,solution action,Change to calmer gut illustration,3948,156.16,157.92,1.76,"Calms the inflammation in your gut,",Direct cut / appearance,To Tiny worker figures spray/support joint tissue,frames/03904.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E070,3948,mechanism-metaphor,Tiny worker figures spray/support joint tissue,solution action metaphor,Use a different anatomical site and repair metaphor for joints,3976,157.92,159.04,1.12,"your joints, your",Direct cut / appearance,To Glowing green outline of whole body,frames/03948.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E071,3976,mechanism,Glowing green outline of whole body,system summary,Zoom conceptually out to whole-system language,4009,159.04,160.36,1.32,your whole system. So,Direct cut / appearance,To Worm-filled translucent sac deflates in gut tunnel,frames/03976.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E072,4009,mechanism,Worm-filled translucent sac deflates in gut tunnel,role recap,Recall first ingredient's proposed job,4069,160.36,162.76,2.4,"So while the oregano is handling the invaders,",Direct cut / appearance,To Tiny workers spray blue streams over glowing damaged tissue,frames/04009.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E073,4069,mechanism-metaphor,Tiny workers spray blue streams over glowing damaged tissue,role recap,Different action for the second ingredient's cooling metaphor,4138,162.76,165.52,2.76,the black seed is cooling down the damage they caused.,Direct cut / appearance,To Both seed/herb piles and two oil jars share wooden board outdoors,frames/04069.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E074,4138,ingredient,Both seed/herb piles and two oil jars share wooden board outdoors,combination,Put both ingredients in one frame when discussing their combination,4214,165.52,168.56,3.04,That's why the combination works when nothing else has. One,Direct cut / appearance,To Microscope-style organism inside cracking shell-like membrane,frames/04138.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E075,4214,mechanism,Microscope-style organism inside cracking shell-like membrane,role recap,Literalize barrier metaphor; avoid treating animation as proof,4248,168.56,169.92,1.36,"One breaks the shield, one",Direct cut / appearance,To Fade through black into luminous green digestive torso,frames/04214.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E076,4248,mechanism,Fade through black into luminous green digestive torso,role recap,Shift from breaking to calming action,4293,169.92,171.72,1.8,"one calms the fire. Together,",Fade through black f4247 into torso from f4248,To Warm flare reveals two amber oil bottles in golden light,frames/04248.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E077,4293,ingredient,Warm flare reveals two amber oil bottles in golden light,combination,Reunite ingredient pair with a hopeful visual tone,4335,171.72,173.4,1.68,"Together, they give your body what it needs to",Warm flare / white flash handoff; incoming image visible at this frame,To Seated presenter,frames/04293.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E078,4335,presenter,Seated presenter,benefit bridge,Presenter interprets and hands off to life outcomes,4378,173.4,175.12,1.72,to finally take its ground back.,Direct cut / appearance,To Warm flash into woman working at laptop in pink shirt,frames/04335.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E079,4378,human,Warm flash into woman working at laptop in pink shirt,benefit,Restore competence at a concrete everyday task,4441,175.12,177.64,2.52,"Within weeks, women report the fog lifting.",Warm flare / white flash handoff; incoming image visible at this frame,"To Woman at table in blue sweatshirt, relaxed expression and hand at cheek",frames/04378.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E080,4441,human,"Woman at table in blue sweatshirt, relaxed expression and hand at cheek",benefit,Show more comfortable mental engagement,4494,177.64,179.76,2.12,Finally thinking clearly again. Remembering,Direct cut / appearance,To Older woman speaks outside in selfie composition,frames/04441.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E081,4494,human,Older woman speaks outside in selfie composition,benefit,Make remembering/conversation visible,4544,179.76,181.76,2.0,Remembering words without struggling.,Direct cut / appearance,To Woman smiles and turns in fitted black dress in hallway,frames/04494.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E082,4544,human,Woman smiles and turns in fitted black dress in hallway,benefit,Return to clothing comfort using new footage,4604,181.76,184.16,2.4,The belly starting to feel flatter for the first,Direct cut / appearance,To Seated presenter,frames/04544.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E083,4604,presenter,Seated presenter,benefit interpretation,Carry the temporal qualification on face,4642,184.16,185.68,1.52,first time in years. Sleeping,Direct cut / appearance,"To Woman wakes in daylight bed, sits up and stretches both arms",frames/04604.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E084,4642,human,"Woman wakes in daylight bed, sits up and stretches both arms",benefit callback,Answer earlier night waking with a distinct positive scene,4715,185.68,188.6,2.92,Sleeping through the night without that 3am wake up.,Direct cut / appearance,To Woman in blue top dances/raises arms in kitchen,frames/04642.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E085,4715,human,Woman in blue top dances/raises arms in kitchen,benefit,Make energy a visible action,4747,188.6,189.88,1.28,Real energy. Not,Direct cut / appearance,To Seated presenter,frames/04715.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E086,4747,presenter,Seated presenter,qualification,Keep verbal distinction on speaker,4803,189.88,192.12,2.24,Not caffeine energy. To actually enjoy,Direct cut / appearance,To Grandparent and family watch small child play indoors,frames/04747.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E087,4803,human,Grandparent and family watch small child play indoors,emotional payoff,Return to family participation,4842,192.12,193.68,1.56,enjoy their grandkids. Their,Direct cut / appearance,To Older woman sits by/in river in swimwear,frames/04803.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E088,4842,human,Older woman sits by/in river in swimwear,emotional payoff,"Give retirement an active, specific scene",4869,193.68,194.76,1.08,Their retirement. Their,Direct cut / appearance,To Older couple walk side by side outside building,frames/04842.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E089,4869,human,Older couple walk side by side outside building,emotional payoff,Show shared daily life beyond symptom removal,4897,194.76,195.88,1.12,Their life. But,Direct cut / appearance,To Seated presenter,frames/04869.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E090,4897,presenter,Seated presenter,selection objection,Reset attention to choosing among options,4925,195.88,197.0,1.12,But here's the thing. Most,Direct cut / appearance,To Crowded shelf of oil/supplement bottles in cupboard,frames/04897.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E091,4925,object,Crowded shelf of oil/supplement bottles in cupboard,alternatives,Show category clutter,4975,197.0,199.0,2.0,Most oregano oil doesn't work.,Direct cut / appearance,To Seated presenter,frames/04925.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E092,4975,presenter,Seated presenter,selection criterion,Explain the claimed distinction,5008,199.0,200.32,1.32,Health store brands are 30,Direct cut / appearance,To Hand holds competing oregano bottle in shop aisle,frames/04975.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E093,5008,object,Hand holds competing oregano bottle in shop aisle,comparison,Make comparison object legible,5017,200.32,200.68,0.36,30 -50,Direct cut / appearance,To Competing bottle turns grayscale with large red X,frames/05008.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E094,5017,object-effect,Competing bottle turns grayscale with large red X,comparison emphasis,Encode rejection visually; comparative claim unverified,5055,200.68,202.2,1.52,-50 % Carvacrol.,Within-beat edit/effect event; not necessarily a new source clip,"To Microscope view with intact organism, briefly red X",frames/05017.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
E095,5055,mechanism,"Microscope view with intact organism, briefly red X",failure explanation,Recall the mechanism criterion before product recommendation,5111,202.2,204.44,2.24,Way too weak to get through biofilm. You,Direct cut / appearance,To Seated presenter,frames/05055.jpg,Image event manually checked; speech uses approximate MLX Whisper timestamps
