id,start_frame,end_frame_exclusive,start_s,end_s,duration_s,layer,visual_class,observed_visual,narration_paraphrase,editorial_interpretation,transition,framing,timing_confidence
FU7-I13,1941,2011,80.875,83.792,2.917,picture-in-picture over continuous same presenter identity,ingredients,Hand holding white bowl of black seeds outdoors,Thymoquinone from black seed oil,Ingredient re-identification before second mechanism step,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I14,2014,2080,83.917,86.667,2.75,picture-in-picture over continuous same presenter identity,scientific animation,Golden fluid curls through reddish convoluted channels,Floods in ready for kill,Fluid motion visualizes the verb floods,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I15,2108,2133,87.833,88.875,1.042,picture-in-picture over continuous same presenter identity,microscopy-style footage,Yellow-gray field with dark debris shifting apart,Parasites start dying,Small scale view changes texture and scale at claimed kill step,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I16,2136,2185,89.0,91.042,2.042,picture-in-picture over continuous same presenter identity,microscopy-style footage,Gray field with ring-like dark form fragmenting into particles,Adults eggs larvae,Second microscopic view supports breadth claim; identity unverified,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I17,2188,2249,91.167,93.708,2.542,picture-in-picture over continuous same presenter identity,scientific animation,Cluster of round shell-like spheres with bright inner material exposed,Protective shells break down,Close-up makes shell rupture visually legible,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I18,2302,2359,95.917,98.292,2.375,picture-in-picture over continuous same presenter identity,scientific illustration,Red glowing digestive tract in dark blue torso,Body recognizes waste,Widen from microscopic breakdown to whole-body elimination map,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I19,2574,2621,107.25,109.208,1.958,picture-in-picture over continuous same presenter identity,everyday phone-style insert,Downward handheld-looking view into toilet bowl,Strange things in toilet,Translate internal story into observable everyday sign,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I20,2756,2802,114.833,116.75,1.917,picture-in-picture over continuous same presenter identity,scientific animation,Digestive tract changes from red/orange to bright green,Body cleaning house,Color-change shorthand for claimed improvement; not literal evidence,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I21,2804,2896,116.833,120.667,3.833,picture-in-picture over continuous same presenter identity,scientific animation,Segmented worm-like object on red wall shrinks and breaks apart,Leaving broken down not poisoning on way out,Answer fear with visible breakdown sequence,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I22,2976,3020,124.0,125.833,1.833,picture-in-picture over continuous same presenter identity,scientific animation,Blue side torso/belly silhouette becomes flatter,Bloating goes down,Benefit demonstrated with shape change instead of another symptom actor,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I23,3132,3212,130.5,133.833,3.333,picture-in-picture over continuous same presenter identity,scientific illustration,Flesh-toned abdominal cutaway exposing clean-looking intestines,No longer fighting; healing,Shift to calmer anatomical image at resolution,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I24,3214,3296,133.917,137.333,3.417,picture-in-picture over continuous same presenter identity,scientific animation,Luminous white/purple intestines with colorful moving particles,Absorbing nutrients again,Particles supply an absorption metaphor after healing image,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I25,3370,3430,140.417,142.917,2.5,picture-in-picture over continuous same presenter identity,product usage,Two golden softgels in open palm,Granddad took two softgels nightly,Convert long mechanism into a small tangible behavior,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I26,3691,3761,153.792,156.708,2.917,picture-in-picture over continuous same presenter identity,ingredients,Mound of dried oregano in hand,Wild oregano; elevation; carvacrol,Ingredient quality association during product-in-hand explanation,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I27,3860,3889,160.833,162.042,1.208,picture-in-picture over continuous same presenter identity,ingredients,Black seeds piled on wooden spoon,Ethiopian black seed origin,Second ingredient identity during differentiated sourcing story,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I28,4141,4228,172.542,176.167,3.625,picture-in-picture over continuous same presenter identity,shopping screen recording,Tall shopping results list scrolls through oregano-oil listings,Cheap oregano low carvacrol,Recognizable shopping context makes alternative concrete,hard on; continuous vertical scrolling; hard off,centered tall overlay,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I29,4230,4289,176.25,178.708,2.458,picture-in-picture over continuous same presenter identity,scientific animation,Intact translucent sphere with pale worm-like forms on red tissue,Cannot crack biofilm,Return from alternative product to claimed failure mechanism,slide from left; direct replacement,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I30,4289,4380,178.708,182.5,3.792,picture-in-picture over continuous same presenter identity,shopping screen recording,Tall shopping results list scrolls black-seed-oil listings,Cheap black seed low percentage,Parallel comparison structure for second ingredient,hard on; continuous scrolling; hard off,centered tall overlay,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I31,4424,4533,184.333,188.875,4.542,picture-in-picture over continuous same presenter identity,flat scientific animation,Cross-section drawing with green clustered cells under raised caps,Parasites survive; biofilm intact,Intact structures contrast earlier shield breakdown imagery,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I32,4570,4677,190.417,194.875,4.458,picture-in-picture over continuous same presenter identity,ingredients,Paired herbs/seeds and two oils in overhead still,Need both oils working together,Reunite ingredients after examining each insufficient alternative,slide from right; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I33,4869,4935,202.875,205.625,2.75,picture-in-picture over continuous same presenter identity,scientific illustration,Golden digestive organs inside dark torso,Body knows how to heal,Final internal-health reassurance image before purchase logistics,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I34,5025,5104,209.375,212.667,3.292,picture-in-picture over continuous same presenter identity,directional graphic,Large red downward arrow over chest,Official link below,Spatial instruction for click location,hard on; hard off,chest-level graphic,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I35,5106,5143,212.75,214.292,1.542,picture-in-picture over continuous same presenter identity,product packshot,White/green Resilia Oil of Oregano pouch on counter,Discount; limited supplies,Reconnect purchase cue to exact package,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I36,5145,5183,214.375,215.958,1.583,picture-in-picture over continuous same presenter identity,product contents,Hand holds white plate covered in gold softgels,On fence about trying,Makes product contents tangible before final ask,slide from left; hard removal,chest-level square inset,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
FU7-I37,5209,5306,217.042,221.083,4.042,picture-in-picture over continuous same presenter identity,directional graphic,Large red down arrow with presenter pointing down,Click link; first 72 hours,"Coordinate gesture, graphic and spoken action; hold through last frame",hard on; source ends,chest-level graphic,consecutive source frames inspected; slide first visible edge +/-1 frame; no claim of exact editorial asset in-point
