id,start_frame,end_frame_exclusive,start_s,end_s,duration_s,category,visual,voiceover_cue,purpose,flow_to_next,incoming_transition,transition_core_frames,motilli_mapping,representative_frame
R18,756,815,30.24,32.6,2.36,SCIENCE,"Animated capsule in colon, contents begin moving",by working with your slowed gut instead of forcing it.,"A direct product-to-mechanism demonstration. Its exaggerated treatment imagery is source rhetoric, not evidence.",Hard cut to water movement when magnesium is introduced.,hard cut,,S21/S23 concept; no capsule inside organs,768
R19,815,860,32.6,34.4,1.8,SCIENCE,Anatomical cutaway with moving water particles,Magnesium gently draws water,Names an ingredient and immediately pictures its purported action.,Blur hands the explanation to a smiling human payoff.,hard cut,,S22/S23 soluble fiber,827
R20,860,911,34.4,36.44,2.04,PEOPLE,Woman in cream robe looks relieved in bathroom,"in, so things soften and move on their own.",Benefit consequence following the water explanation; bright light and relaxed gesture soften the tone.,Two fast reassurance inserts punctuate the short negatives.,horizontal whip / blur,"[859, 865]",S31 then S32,872
R21,911,935,36.44,37.4,0.96,PEOPLE,Smiling woman gestures thumbs-up beside toilet,"Nothing to force,",One short reassurance unit for nothing to force.,Hard cut on the next parallel phrase keeps the cadence crisp.,hard cut,,Use only our script-matched S32–S35,923
R22,935,961,37.4,38.44,1.04,PEOPLE,Woman in green hoodie reacts to her abdomen,nothing to get hooked on.,Second short reassurance unit; different pose refreshes the picture.,Real ginger enters exactly when the next ingredient is named.,hard cut,,S32–S35 rhythm only,947
R23,961,1008,38.44,40.32,1.88,INGREDIENT,Handheld ginger root macro,"Ginger helps your stomach actually empty,",Tactile real-world ingredient before anatomy; a small hand/camera move maintains energy.,Blur into the digestive illustration bridges ingredient to its proposed action.,hard cut,,S20 celery / S25 chlorophyllin,973
R24,1008,1048,40.32,41.92,1.6,SCIENCE,Digestive cutaway with moving yellow contents,"so food doesn't sit and ferment,",Picture the stomach/food language while the contents move; explanation stays concrete.,Hard cut to nutrient imagery starts the next ingredient function.,horizontal whip / blur,"[1007, 1013]",S21 or S26; use Motilli-specific visuals,1020
R25,1048,1130,41.92,45.2,3.28,SCIENCE,"Transparent torso with nutrient symbols, then glowing whole figure",and it replaces the B12 and iron your shot quietly drains.,"One continuous changing CGI shot: camera approaches organs, glow spreads, view widens. Do not count each glow or camera move as a cut.",A person holding the bottle makes the daily-use statement tangible.,hard cut,,S29 neutral torso; no vitamin/iron claims copied,1060
R26,1130,1180,45.2,47.2,2.0,PEOPLE,Pink-haired woman holds bottle toward camera,"It's gentle enough to take every single day,",Daily-use line paired with the product in a hand; expressive face changes the visual texture.,Blur returns abruptly to dark problem footage for the old-remedy objection.,hard cut,,S28 product/gummy detail,1142
R27,1180,1263,47.2,50.52,3.32,PEOPLE,Woman in pain behind a row of laxatives,which matters because a shock laxative was never something you could keep doing.,Deliberate problem callback after benefits; cool darkness creates contrast.,Hard cut to warm relief at the women/regularity claim.,horizontal whip / blur,"[1179, 1185]",S30–S31 context; no return to generic reactions,1192
R28,1263,1321,50.52,52.84,2.32,PEOPLE,Woman smiling on toilet in warm bathroom,"Women say they're regular for the first time in years,",Visualizes the regularity testimony; longer hold lets the emotional result register.,Another warm portrait prolongs the relief without an elaborate transition.,hard cut,,S32/S33 imagined daily activities; no borrowed testimonial,1275
R29,1321,1385,52.84,55.4,2.56,PEOPLE,Warm close-up of older woman with hand on abdomen,"gently, every day, no cycle to escape.","Calm, relieved gesture under everyday regularity and escape from the cycle.",Monochrome sweep-away shot resets contrast for the final reframe.,hard cut,,S34/S35,1333
R30,1385,1439,55.4,57.56,2.16,OBJECT,Monochrome hand sweeps remedies off counter,"It's not a broken gut. It's the wrong tool,",Action verb becomes a picture: reject the wrong tool; echoes monochrome pills near the opening.,White counter and product shape bridge naturally to a capped GLP-1 pen.,hard cut,,S14 reframe; do not add discarded-medication message,1397
R31,1439,1495,57.56,59.8,2.24,OBJECT,Ozempic pen on counter with camera push-in,and you don't have to quit your shot to feel normal again.,Literal medication object under continuing the shot; the push-in prevents an inert hold.,Hard cut returns to the supplement for the CTA.,hard cut,,S36,1451
R32,1495,1542,59.8,61.68,1.88,PRODUCT,Bottle placed upright; guarantee seal appears,"GLP-1 SOS,","Brand lands, seal pops/scales up, and the camera tightens. The badge begins before the spoken guarantee.","Blur shifts to a clean locked end card, preserving bottle-centered composition.",hard cut,,S37 product + native CapCut guarantee graphic,1507
R33,1542,1651,61.68,66.04,4.36,PRODUCT,"Centered bottle, capsules, logo, headline and website",sixty-day money back guarantee. Tap below.,Dedicated end-card composition holds through offer and tap instruction; little competing movement.,Hold to the end; no new distracting shot.,horizontal whip / blur,"[1541, 1547]",S37 clean CTA hold,1554
