start_frame,cue_paraphrase,visual_class,observed_visual_action,observed_motion,editorial_role_inference,shot_id,start_s,end_frame_exclusive,end_s,duration_s,incoming_transition,outgoing_transition,boundary_review,boundary_evidence,transcript_excerpt_asr_unverified,caption_style_observed,source_provenance_status
1108,Nutrients the body needs,mechanism,Cleaner pink intestinal tunnel containing small gold particles,Forward drift,Establish normal desired flow before interception,YIX-020,36.933,1161,38.7,1.767,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 3; split file boundaries-03-1.jpg,nutrients your body actually need.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1161,"Zinc, iron, amino acids, vitamins",mechanism,Brown tunnel with four large colored nutrient-like shapes suspended inside,Colored pieces move toward viewer,One grouped view supports a list of related entities without a cut per noun,YIX-021,38.7,1255,41.833,3.133,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 4; split file boundaries-03-1.jpg,The zinc. The iron. The amino acids. The vitamins.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1255,Intercepted before body receives them,mechanism,Close intestinal folds with coated blobs and bright particle below,Macro drift,Begin interception sequence,YIX-022,41.833,1279,42.633,0.8,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 5; split file boundaries-03-1.jpg,Intercept it,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1279,Intercepted before body receives them,mechanism,"Villus-level red tissue, worms and large colored nutrient objects clustered at center",Macro particle convergence,Move to finer scale to show where interception happens,YIX-023,42.633,1324,44.133,1.5,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 6; split file boundaries-03-2.jpg,before your body get any of it.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1324,Eating clean,human-attempt,Young man eating from plate at a table in everyday room; vertical phone composition,Fork-to-mouth action,Recognizable good habit becomes a failed-attempt example,YIX-024,44.133,1359,45.3,1.167,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 7; split file boundaries-03-2.jpg,You've been eating clean.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1359,Taking supplements,human-attempt,Woman in kitchen selfie framing with several pills in open mouth,Mouth/swallow action,Concrete supplement behavior supports second attempted solution,YIX-025,45.3,1395,46.5,1.2,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 8; split file boundaries-03-2.jpg,You've been taking supplements.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1395,Still deficient,human-problem,"Older man seated on bed in undershirt, rubbing abdomen and grimacing",Hand-to-abdomen action,Show the unresolved human consequence; symptoms do not prove deficiency,YIX-026,46.5,1432,47.733,1.233,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 9; split file boundaries-03-2.jpg,And you're still deficient,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1432,They steal nutrients,mechanism,Wide interior with thin worms and drifting colored particles,Worm/particle motion,Return from habit examples to proposed reason they fail,YIX-027,47.733,1488,49.6,1.867,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-03.jpg row 10; split file boundaries-03-2.jpg,because they're stealing everything from you.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1488,This is the vagus nerve,mechanism+presenter,Internal wall with long pale branching nerve-like structure; commentator lower-left points up,Slow push; pointing,Introduce a new named structure using guide plus visible referent,YIX-028,49.6,1542,51.4,1.8,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-04.jpg row 1; split file boundaries-04-1.jpg,Now this? This is your vagus nerve.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1542,Gut-to-brain connection,anatomical-system,Transparent upper torso/back of head with blue impulses running toward brain,Camera tracks upward along pulses,Show route at whole-system scale,YIX-029,51.4,1617,53.9,2.5,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-04.jpg row 2; split file boundaries-04-1.jpg,The direct line between your gut and your brain.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1617,Clustered around nerve,mechanism+presenter,Return to inside wall and pale branching strand with small surrounding forms,Macro drift; presenter pointing,Reconnect whole-body route to localized claimed trigger,YIX-030,53.9,1671,55.7,1.8,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-04.jpg row 4; split file boundaries-04-1.jpg,See how they all clustered around it?,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1671,Chemical signals,mechanism,Blue neuron-like branching web above lumpy microscopic landscape with moving cyan streaks,Fast electrical streaks; micro camera glide,Use a distinct microscopic vocabulary for signaling,YIX-031,55.7,1717,57.233,1.533,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-04.jpg row 5; split file boundaries-04-1.jpg,They sending chemical signals straight,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1717,Signals trigger sugar cravings,anatomical-system,Frontal transparent torso with lit nerve path/brain and sugar/bread pictograms,Light pulses rise; food insets static,Integrate route and behavioral destination in one diagram,YIX-032,57.233,1779,59.3,2.067,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-05.jpg row 2; split file boundaries-05-1.jpg,up that nerve triggering sugar cravings.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1779,Midnight trip to kitchen,human-problem,Wide dim home kitchen; woman approaches and opens refrigerator,Walking/refrigerator door action,Externalize abstract craving as a specific familiar behavior and time-of-day setting,YIX-033,59.3,1825,60.833,1.533,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-05.jpg row 3; split file boundaries-05-1.jpg,That midnight run to the kitchen where,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1825,Cannot stop eating sweets,human-problem,Closer same kitchen/person holding ice-cream tub and spoon,Spoon-to-mouth action,Complete action chain from seeking food to eating it,YIX-034,60.833,1874,62.467,1.633,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-05.jpg row 4; split file boundaries-05-1.jpg,you can't stop eating sweet stuff?,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1874,Signal started here,mechanism+presenter,Gut wall with worms and expanding purple rings; commentator points,Pulsing rings,Return human behavior to claimed source and visually mark origin,YIX-035,62.467,1923,64.1,1.633,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-05.jpg row 5; split file boundaries-05-1.jpg,That signal started right here.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1923,What has been living inside you,mechanism,"Close coated, dirty-looking intestinal fold",Slow macro glide,Re-establish antagonist before symptom recap,YIX-036,64.1,1969,65.633,1.533,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-05.jpg row 6; split file boundaries-05-2.jpg,This what's been living inside you.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
1969,Bloating,human-problem,Seated blonde woman struggles with waistband then exposes stomach,Pulling waistband/body reaction,Fast list montage gives symptom a distinct visible action,YIX-037,65.633,2001,66.7,1.067,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-05.jpg row 7; split file boundaries-05-2.jpg,Causing the bloating.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2001,Brain fog,human-problem,"Young woman in robe at table presses forehead, eyes closed",Forehead hold/slumped pose,Switch face/body cue and environment to depict cognitive difficulty,YIX-038,66.7,2029,67.633,0.933,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-05.jpg row 8; split file boundaries-05-2.jpg,The brain fog.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2029,Fatigue,human-problem,Wide living room; person lies stretched out on sofa,Mostly still collapsed posture,Sub-second exhaustion insert; change shot scale and location,YIX-039,67.633,2051,68.367,0.733,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-05.jpg row 9; split file boundaries-05-2.jpg,The fatigue.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2051,Sugar cravings,human-problem,Close woman holding Nutella container and heaped sweet-filled spoon,Food held close to lens,Exaggerated food action gives craving an immediately legible image,YIX-040,68.367,2081,69.367,1.0,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-05.jpg row 10; split file boundaries-05-2.jpg,The sugar cravings.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2081,2 a.m. wake-ups,human-problem,"Man lying on side in bed, eyes opening/looking aside",Small head/eye motion,Use sleep environment and restless expression for this symptom,YIX-041,69.367,2120,70.667,1.3,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-06.jpg row 1; split file boundaries-06-1.jpg,The 2 a .m. wake -ups.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2120,Joint pain,human-problem,Woman on edge of bed grips/rubs knee and leans back,Knee-rubbing and grimace,Specific joint and action instead of generic discomfort,YIX-042,70.667,2150,71.667,1.0,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-06.jpg row 2; split file boundaries-06-1.jpg,The joint pain.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2150,Skin breakouts,human-problem,"Phone close-up of woman's visibly red facial skin, head angled toward lens",Head tilt,Surface-level symptom is best shown directly at close scale,YIX-043,71.667,2183,72.767,1.1,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-06.jpg row 3; split file boundaries-06-1.jpg,The skin breakouts.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2183,All one root cause,mechanism,Dark red crowded tissue with shiny worm/parasite-like forms,Slow dense organic motion,Collapse diverse symptom montage back into singular cause claim,YIX-044,72.767,2243,74.767,2.0,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-06.jpg row 4; split file boundaries-06-1.jpg,All of it. One root cause.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2243,Behind biofilm,mechanism,Close wall with stacked yellow-coated bulbs,Slow macro push,Recall previously established barrier rather than introducing unrelated symbol,YIX-045,74.767,2301,76.7,1.933,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-06.jpg row 5; split file boundaries-06-1.jpg,Hiding behind a biofilm shield no,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2301,No doctor told you,professional-context,"Person in white coat working at a lab bench with microscope, monitors, test tubes",Seated bench work,Visual professional context for omission claim; image does not substantiate it,YIX-046,76.7,2356,78.533,1.833,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-06.jpg row 6; split file boundaries-06-2.jpg,doctor ever told you about.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2356,Take two softgels before bed,product-use+presenter,Robe-wearing person's hands hold golden softgels near bed; commentator keyed below,Picking up capsule; hand rises to mouth,Show simple regimen at the solution pivot,YIX-047,78.533,2469,82.3,3.767,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-06.jpg row 7; split file boundaries-06-2.jpg,Now watch what happens when you take two soft gels of Resilie before bed.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2469,Wild oregano ingredient,ingredient,Green leafy plant macro outdoors,Gentle handheld/foliage motion,Move from scary interior to fresh tangible ingredient source,YIX-048,82.3,2546,84.867,2.567,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-06.jpg row 9; split file boundaries-06-2.jpg,This is wild Mediterranean oregano oil,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2546,85% carvacrol,ingredient,Yellow liquid droplet at pipette above amber glass bottle,Drop forms/falls,Switch from raw plant to concentrated liquid form on strength claim,YIX-049,84.867,2600,86.667,1.8,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-07.jpg row 2; split file boundaries-07-1.jpg,at 85 % carvacrawl,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2600,Paired with black seed oil,ingredient,Black seeds pour into white bowl,Pour accumulation,"Introduce second ingredient with distinct color, texture and action",YIX-050,86.667,2678,89.267,2.6,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-07.jpg row 3; split file boundaries-07-1.jpg,paired with real Ethiopian black seed oil,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2678,Rich in thymoquinone,ingredient,Spoon scoops black seeds from white bowl,Scoop/lift,Closer tactile insert sustains second ingredient while naming active,YIX-051,89.267,2719,90.633,1.367,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-07.jpg row 4; split file boundaries-07-1.jpg,rich in thymoquinone.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2719,Two powerful compounds,presenter,"Same male presenter full-frame in home, carved wood cabinet background",Conversational face/hand gesture,Human explanation synthesizes ingredient pair before demonstration,YIX-052,90.633,2821,94.033,3.4,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-07.jpg row 5; split file boundaries-07-1.jpg,Two of the most powerful antimicrobial compounds on the planet,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
2821,Both arrive at once,mechanism,Inside mouth/throat with two golden capsules landing on tongue,Capsules tumble,Bridge recognizable dose to internal treatment path,YIX-053,94.033,2896,96.533,2.5,hard cut,hard cut,personally inspected source frames n-3 through n+2 at 180x320; consecutive frame evidence,boundaries-07.jpg row 6; split file boundaries-07-2.jpg,coming at these parasites at the same time.,"Small white sans-serif with dark outline, generally near mid-frame/lower middle; phrase replacements; hook banner additionally at top until 6.4s",Finished reference only. Original human/stock/CGI origin and capture device not verified.
