shot,start_frame,end_frame_exclusive,start_seconds,end_seconds,duration_seconds,visual,narration,incoming,outgoing,timing_basis
S01,0,122,0.0,4.066666666666666,4.066666666666666,Presenter: car selfie,"I called my son's ex -wife during his wedding, and I don't regret it. See, I didn't",Cold open,Direct cut to Dresses on shop mannequins,Image frames measured; narration ASR approximate
S19,1231,1264,41.03333333333333,42.13333333333333,1.1000000000000014,Presenter,Watch this video about menopause,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Abdomen mirror image: before-style,Image frames measured; narration ASR approximate
S20,1264,1294,42.13333333333333,43.13333333333333,1.0,Abdomen mirror image: before-style,menopause belly fat.,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Abdomen mirror image: after-style,Image frames measured; narration ASR approximate
S21,1294,1323,43.13333333333333,44.1,0.9666666666666686,Abdomen mirror image: after-style,I'm sending it now.,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S22,1323,1340,44.1,44.666666666666664,0.5666666666666629,Presenter,Bailey does model,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Fitting / clothing-rack scene,Image frames measured; narration ASR approximate
S23,1340,1419,44.666666666666664,47.3,2.633333333333333,Fitting / clothing-rack scene,model fittings. She's going to shoots and fittings every week. So,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S24,1419,1479,47.3,49.3,2.0,Presenter,"So I watched what she sent, and it explained that",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Science: estrogen torso,Image frames measured; narration ASR approximate
S25,1479,1541,49.3,51.36666666666667,2.06666666666667,Science: estrogen torso,"that when estrogen drops after menopause, a",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter with later inset,Image frames measured; narration ASR approximate
S26,1541,1648,51.36666666666667,54.93333333333333,3.566666666666663,Presenter with later inset,a gut bacteria called acromantia dies off. And acromantia keeps,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Science: illuminated digestive torso,Image frames measured; narration ASR approximate
S27,1648,1696,54.93333333333333,56.53333333333333,1.6000000000000014,Science: illuminated digestive torso,keeps the gut lining sealed tight. So,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter with later inset,Image frames measured; narration ASR approximate
S28,1696,1788,56.53333333333333,59.6,3.06666666666667,Presenter with later inset,"So when it dies, the gut gets tiny holes in it, and undigested",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Science: bloodstream,Image frames measured; narration ASR approximate
S29,1788,1858,59.6,61.93333333333333,2.3333333333333286,Science: bloodstream,"undigested food and toxins leak into the bloodstream,",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S30,1858,1894,61.93333333333333,63.13333333333333,1.2000000000000028,Presenter,triggering inflammation. And,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Science: digestive tract,Image frames measured; narration ASR approximate
S31,1894,1967,63.13333333333333,65.56666666666666,2.43333333333333,Science: digestive tract,"And because the gut can't absorb nutrients properly, the",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S32,1967,2006,65.56666666666666,66.86666666666666,1.2999999999999972,Presenter,the body thinks it's starving and,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Science: cortisol torso,Image frames measured; narration ASR approximate
S33,2006,2065,66.86666666666666,68.83333333333333,1.9666666666666686,Science: cortisol torso,"and panics, spiking cortisol and",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Science: changing abdomen model,Image frames measured; narration ASR approximate
S34,2065,2122,68.83333333333333,70.73333333333333,1.9000000000000057,Science: changing abdomen model,and storing more fat around the abdomen because,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S35,2122,2281,70.73333333333333,76.03333333333333,5.299999999999997,Presenter,"because this area has four times the cortisol receptors than anywhere else. So it wasn't the carbs, but",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Science: fat-cell view,Image frames measured; narration ASR approximate
S36,2281,2341,76.03333333333333,78.03333333333333,2.0,Science: fat-cell view,but my gut lining leaking toxins. And,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter with ingredient inset,Image frames measured; narration ASR approximate
S37,2341,2462,78.03333333333333,82.06666666666666,4.033333333333331,Presenter with ingredient inset,And the video went on to say berberine regrows acromantia by telling the gut to,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Science: intestinal wall animation,Image frames measured; narration ASR approximate
S38,2462,2614,82.06666666666666,87.13333333333334,5.066666666666677,Science: intestinal wall animation,to make the protective layer again. So the bacteria has food and can grow back to seal the gut lining. But,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter with intermittent insets,Image frames measured; narration ASR approximate
S39,2614,2814,87.13333333333334,93.8,6.666666666666657,Presenter with intermittent insets,But berberine doesn't absorb well on its own because the gut blocks 99 % of it. So black pepper extract fixes this and lets 20,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Science: intestinal tunnel,Image frames measured; narration ASR approximate
S40,2814,2858,93.8,95.26666666666667,1.4666666666666686,Science: intestinal tunnel,20 times more absorb. Then,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S41,2858,2889,95.26666666666667,96.3,1.0333333333333314,Presenter,Then Bailey texted me a,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Nuora bottle and supplement label,Image frames measured; narration ASR approximate
S42,2889,3019,96.3,100.63333333333334,4.333333333333343,Nuora bottle and supplement label,"a link to something called new aura, which read, they have both. I've been using it for years. So",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter holding bottle,Image frames measured; narration ASR approximate
S43,3019,3152,100.63333333333334,105.06666666666666,4.433333333333323,Presenter holding bottle,"So I ordered it expecting another letdown, but that was mid February. And by week three,",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Loose waistband detail,Image frames measured; narration ASR approximate
S44,3152,3210,105.06666666666666,107.0,1.9333333333333371,Loose waistband detail,my jeans felt a little looser in the morning.,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S45,3210,3265,107.0,108.83333333333333,1.8333333333333286,Presenter,"By week five, the belly that stuck out",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Abdomen / waistband result,Image frames measured; narration ASR approximate
S46,3265,3325,108.83333333333333,110.83333333333333,2.0,Abdomen / waistband result,"out started flattening. And by week eight,",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S47,3325,3425,110.83333333333333,114.16666666666667,3.333333333333343,Presenter,I went down a whole dress size. So the wedding was June 15th and,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Navy dress mirror scene,Image frames measured; narration ASR approximate
S48,3425,3553,114.16666666666667,118.43333333333334,4.266666666666666,Navy dress mirror scene,"and I wore a fitted navy dress size eight, same size I wore before menopause hit.",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S49,3553,3574,118.43333333333334,119.13333333333334,0.7000000000000028,Presenter,Taylor saw me at,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Floral dress mirror scene,Image frames measured; narration ASR approximate
S50,3574,3680,119.13333333333334,122.66666666666667,3.5333333333333314,Floral dress mirror scene,at the rehearsal dinner the night before and her face went completely blank. Then,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S51,3680,3701,122.66666666666667,123.36666666666666,0.6999999999999886,Presenter,Then she smiled that,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Two women at reception,Image frames measured; narration ASR approximate
S52,3701,3803,123.36666666666666,126.76666666666667,3.4000000000000057,Two women at reception,"that tight smile and said, Linda, you look great. What did you do? Just",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S53,3803,3890,126.76666666666667,129.66666666666666,2.8999999999999915,Presenter,"Just fixed my gut bacteria. I said, she blinked, you're",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Two women discussing at table,Image frames measured; narration ASR approximate
S54,3890,4003,129.66666666666666,133.43333333333334,3.76666666666668,Two women discussing at table,you're what? Acromantia. It's the bacteria that dies during menopause.,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S55,4003,4170,133.43333333333334,139.0,5.566666666666663,Presenter,"I re -grew it. She had no idea what to say to that. And at the wedding the next day, I didn't hide in the back of the group shot,",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Wedding group photo,Image frames measured; narration ASR approximate
S56,4170,4238,139.0,141.26666666666668,2.26666666666668,Wedding group photo,"but stood right next to her. And later that evening,",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S57,4238,4278,141.26666666666668,142.6,1.3333333333333144,Presenter,Taylor's aunt pulled me aside during,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Woman holding drink at event,Image frames measured; narration ASR approximate
S58,4278,4358,142.6,145.26666666666668,2.6666666666666856,Woman holding drink at event,"during cocktail hour and said, you look incredible.",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S59,4358,4402,145.26666666666668,146.73333333333332,1.4666666666666401,Presenter,Taylor mentioned you lost weight about,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Loose waistband detail reused,Image frames measured; narration ASR approximate
S60,4402,4468,146.73333333333332,148.93333333333334,2.200000000000017,Loose waistband detail reused,about 25 pounds since February. How?,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S61,4468,4520,148.93333333333334,150.66666666666666,1.73333333333332,Presenter,How? I've been trying everything. So,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter pickup / face reset,Image frames measured; narration ASR approximate
S62,4520,4653,150.66666666666666,155.1,4.433333333333337,Presenter pickup / face reset,"So I told her about Acromantia, about the berberine and black pepper. She pulled out her phone and",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Nuora product-page scroll,Image frames measured; narration ASR approximate
S63,4653,4695,155.1,156.5,1.4000000000000057,Nuora product-page scroll,and asked me to send her the link.,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S64,4695,4862,156.5,162.06666666666666,5.566666666666663,Presenter,And Taylor walked past right as her aunt was typing new aura into her browser. And I caught her eye and smiled because,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Navy dress event scene,Image frames measured; narration ASR approximate
S65,4862,4968,162.06666666666666,165.6,3.5333333333333314,Navy dress event scene,because smart women don't starve themselves to fit someone else's timeline. They,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S66,4968,5012,165.6,167.06666666666666,1.4666666666666686,Presenter,They just figure out what's actually broken,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Open supplement bottle,Image frames measured; narration ASR approximate
S67,5012,5055,167.06666666666666,168.5,1.4333333333333371,Open supplement bottle,broken and fix it. So next time,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S68,5055,5081,168.5,169.36666666666667,0.8666666666666742,Presenter,time someone makes you feel like,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Woman in pale activewear,Image frames measured; narration ASR approximate
S69,5081,5137,169.36666666666667,171.23333333333332,1.8666666666666458,Woman in pale activewear,like your menopause belly is your fault. Just,Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter,Image frames measured; narration ASR approximate
S70,5137,5211,171.23333333333332,173.7,2.4666666666666686,Presenter,"Just know it's not. It's your gut asking for help, but",Direct cut / presenter pickup; adjacent source frames reviewed,Direct cut to Presenter holding bottle: closing pickup,Image frames measured; narration ASR approximate
S71,5211,5266,173.7,175.53333333333333,1.8333333333333428,Presenter holding bottle: closing pickup,but now you know exactly what to give it.,Direct cut / presenter pickup; adjacent source frames reviewed,End of source,Image frames measured; narration ASR approximate
