post_id,platform,url,caption,transcript,creator,published_at,likes,comments_reported,views,waves,raw_refs,seed_id,seed_notes,media_type,paid_partnership,input_url,theme_tags,category,category_method,transcript_status,retrieved_at,comments_collected,substantive_candidates
ig:DZpphJ8sdwB,instagram,https://www.instagram.com/p/DZpphJ8sdwB/,"⏳ BUY 2 GET 1 FREE
🌍 Free worldwide shipping
💪 Trusted by 52,000+ men
✨ Minimal jewellery built to last

▶️ pureformeu.com ◀️","This costs $59, but it looks like $5,000. We did something most brands would never do. We took apart luxury pieces, analyzed everything. Solid 925 sterling silver, 18 karat gold plating, natural stones, the exact same materials. So we asked, what are you actually paying for? Because it's not just the jewelry, it's the logo, the store, the story, the markup. So we stripped all of that away and we built this. Same materials, same craftsmanship, same presence, without the $5,000 price tag. Their price, thousands. Ours, under $100. They sell status, we sell transparency. Over 50,000 customers already made the switch. Luxury without the illusion. And today, buy two, get one free.",pureform.eu,2026-06-16T14:51:12.000Z,12053,268,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=10"", ""raw/05-ig-seed-transcripts-items.json#row=42""]",S101,,Video,False,https://www.instagram.com/p/DZpphJ8sdwB/,"[""designer_spend"", ""euro_trip"", ""markup_skepticism"", ""quality_material"", ""logo_independence"", ""travel_scale"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,98,65
ig:DaAQeKXMGaz,instagram,https://www.instagram.com/p/DaAQeKXMGaz/,"The only weekender you'll need fits as a carry-on, holds 3 days of gear, and turns heads at the airport. Free matching toiletry bag included.","This bag might change my life and yours. Hey, I'm Andrea. I created this bag. But yeah, I know. You don't even know who the fuck I am yet, even though we have 300k followers. So why have you never heard of me? Because we just launched in the US. Yeah, I'm French. And I created one of the fastest growing streetwear brands in France. To make it quick, 150,000 orders in two years. The growth has been insane. I was always afraid of coming to the US because I already failed here four years ago. I was 19, fresh out of fashion school. I had two runway shows at New York Fashion Week. I flew in with my mom. Hotel room turned into a showroom. Two suitcases full of pieces I designed. I thought I was about to make it, but nothing happened. I flew back to Paris feeling like I had failed. But I couldn't give up. The dream was too big. So I went home and built Art Real from scratch. Three years later, here we are. Same dream and a fucking bestseller. This is the Relic Duffel. And I'm selling 5,000 of them every month in France. Let me show you why. The design is just insane. Same jacquard as big luxury brands. The bag fits as a carry-on. And it's bigger than all those luxury bags that are expensive as fuck. The details are insane. And it's only $178. And the best part? You're one of the first to see it here in the US. For our first month, we made a crazy offer. With every bag you buy, we give you the matching toiletry bag for free. It's an insane toiletry bag like you've never seen. People pay $60 for it in France. But we're giving it away for free. Only for the first 500 orders though. So you better be fast.",arntreal.co,2026-06-25T09:34:52.000Z,2843,49,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=11"", ""raw/05-ig-seed-transcripts-items.json#row=121""]",S001,"* founder angle
* affordable luxury angle and why we exist",Video,False,https://www.instagram.com/p/DaAQeKXMGaz/,"[""new_brand"", ""founder"", ""designer_spend"", ""european_style"", ""euro_trip"", ""quality_material"", ""travel_scale"", ""purchase_trigger""]",handbag_context,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,16,8
ig:Db4ULqGMNoU,instagram,https://www.instagram.com/p/Db4ULqGMNoU/,"Timeless Men’s Watches | Lifetime guarantee
 
Last chance - Get 4 FREE straps with any watch ordered today. 
Shop → www.cascalia.com",,cascalia_,2026-08-11T00:36:10.000Z,207,0,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=12"", ""raw/05-ig-seed-transcripts-items.json#row=58""]",S145,* women holding the bags,Video,False,https://www.instagram.com/p/Db4ULqGMNoU/,"[""old_money"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,not_available,2026-09-11,0,0
ig:DdAxBmQA9cG,instagram,https://www.instagram.com/p/DdAxBmQA9cG/,"Oceana is giving yacht wife, rich aunt, summer in Monaco… without needing Monaco money.

✨ Premium 316L stainless steel.
💧 Waterproof finish.
💛 Tarnish-resistant shine.

Classic polished, waterproof, and dangerously good at making basic outfits look styled.

Limited edition ONLY, don’t let her sell out in someone else’s cart.","I saved up for like months to go to New York and on my second day I just walked down Fifth Avenue just to walk, you know, just to see it. And I walked past the Rolex store and I just stopped like okay, wow. Then I see Audemars Piguet and I stop again and then I turn the corner and there's Patek Philippe and in the window there's the Patek Philippe Nautilus and I just stood there. I couldn't move, it was so simple, so clean, nothing flashy, nothing loud, just perfect. So I looked it up right there on my phone, $60,000, some of these go for $200,000, three year wait list. I almost cried and then I just stood there a little longer anyway, just looking at it through the glass. Even in another life with all that money would I actually wear it every day? Would I just be scared of everything, every scratch, every bump and every time I left the house I flew home and I couldn't stop thinking about it. So I'm lying in bed that night on TikTok still thinking about that look. And I just stopped. The Oceania by No More Stainless Steel, real finish, waterproof, doesn't tarnish, you wear it everywhere, beach, brunch, work, dates, no wait list and no $60,000 under $200 and it arrives in days. I ordered it that same night it came, I put it on and stood in front of my mirror and honestly, that feeling that I was looking on, a $60,000 watch was now on my wrist with less than $200. No More Oceania. No More Oceania. Over 100,000 women already have it, simple, clean and built to last, 50% off today only, go find yours.",nuamore,2026-09-08T03:53:31.000Z,0,0,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=13"", ""raw/05-ig-seed-transcripts-items.json#row=142""]",S157,* song,Video,False,https://www.instagram.com/p/DdAxBmQA9cG/,"[""designer_spend"", ""old_money"", ""outfit_upgrade"", ""social_judgment"", ""quality_material"", ""logo_independence"", ""seasonal_woven"", ""travel_scale"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,0,0
ig:Db3WsbVAe09,instagram,https://www.instagram.com/p/Db3WsbVAe09/,Feel empowered every time you venture out with Carl Friedrik luggage by your side.,🎺,carlfriedrik,2026-08-10T15:38:52.000Z,24,0,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=14"", ""raw/05-ig-seed-transcripts-items.json#row=59""]",S082,,Video,False,https://www.instagram.com/p/Db3WsbVAe09/,"[""euro_trip"", ""travel_scale""]",handbag_context,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,0,0
ig:DbZVk6fg-RU,instagram,https://www.instagram.com/p/DbZVk6fg-RU/,"From workdays to weekends, Quince's premium shirts are crafted with high-quality fabrics that are lightweight, breathable, and versatile, so they’re perfect for layering or wearing solo.","The linen shirt that feels like you're wearing nothing, but looks like you actually tried. 100% European linen from Quince. Light as air, relaxed, and polished. Premium brands charge $98, always priced fairly at $34. Shop the Linen Shirt at Quince.",onequince,2026-07-29T23:51:53.000Z,2371,33,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=15"", ""raw/05-ig-seed-transcripts-items.json#row=23""]",S089,,Video,True,https://www.instagram.com/p/DbZVk6fg-RU/,"[""designer_spend"", ""european_style"", ""euro_trip"", ""outfit_upgrade"", ""quality_material"", ""travel_scale""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,21,17
ig:Dcu1WXmAhPq,instagram,https://www.instagram.com/p/Dcu1WXmAhPq/,"😍 Ever wonder why luxury products are so expensive? 

🎁 At Quince, they don't have to be. We connect you directly with the factories that make for the world's leading luxury brands and deliver the highest quality products to you at an insanely low price.",But your life,onequince,2026-09-01T04:44:58.000Z,138,5,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=16"", ""raw/05-ig-seed-transcripts-items.json#row=72""]",S164,* listicle format,Video,False,https://www.instagram.com/p/Dcu1WXmAhPq/,"[""designer_spend"", ""markup_skepticism"", ""quality_material"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,4,4
ig:DcFmN-agPC0,instagram,https://www.instagram.com/p/DcFmN-agPC0/,"Cologne that actually gets you noticed. 12 hours of performance, $39 a bottle. Discover our best-selling collection while stocks last.","Why do men keep choosing you over me? You're inspired by me. I'm Baccarat Rouge 540. Yeah, that's kind of the point. I'm the most complimented cologne on the planet. And you last about three hours. I'm made with premium ingredients, sourced from France. Same ingredients, same suppliers. We spent 18 months matching every note. Saffron, amber wood, cedar, jasmine, note for note. You're a copy. You tried to sue us, lost. LV tried too, also lost. Because matching a scent isn't a crime. It's just bad for your margins. We smell identical. Nobody can tell the difference. But you use 5% oil. I use 25. That's why you fade before lunch. And I'm still on his skin when he gets home at night. That's not possible for $39. It is when you're not paying for a celebrity campaign, a glass bottle, and a department store markup. Most of your price tag isn't the fragrance. It's the name. I'm worn by people who appreciate luxury. You're worn by people who can afford the marketing. I'm worn by 100,000 men who wanted the same scent, the same reactions, and five times the longevity for $39. But I'm the original. And you'll always be the original. The original that fades in two hours and costs $450. Meanwhile, she's complimenting him at dinner 12 hours after one spray. And it's me she's smelling, not you. You can't replace me. I'm not trying to replace you. I'm just giving men a reason to stop overpaying for a scent that quits before they do. Right now, it is up to 40% off. And buy two, get one free. All three Baccarat Rouge, Creed Aventus, and LV Imagination for $79. The same three from designers? Over $1,100. Clone Scents backs every bottle with a money-back guarantee. If she doesn't notice, if nobody says anything, every penny back. Head to Clonescents.com. Tap the link before they sell out again.",klonescents,2026-08-16T04:23:53.000Z,233,2,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=17"", ""raw/05-ig-seed-transcripts-items.json#row=65""]",S132,"* why are you so expensive, compare to Birkin bag",Video,False,https://www.instagram.com/p/DcFmN-agPC0/,"[""new_brand"", ""designer_spend"", ""social_judgment"", ""markup_skepticism"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,0,0
ig:DSWB_i_ALqB,instagram,https://www.instagram.com/p/DSWB_i_ALqB/,Love exploring new fragrances? Try SIX incredible designer-inspired scents for just $79.95. Discover your next signature scent today!,"This is a letter from a luxury fragrance brand telling us we're ruining the industry, all because we're helping thousands of people stop overpaying for perfume. Let me explain. A year ago, we made the hardest decision of our lives. After years of working with luxury fragrance houses, watching $30 formulas get bottled, branded, and sold for $400, we'd had enough. We left the industry, we helped, and started building bouquets. A fragrance brand built on transparency, recreating iconic scents with the same premium ingredients with 50% more fragrance oil for a fraction of the price. Some call it copying, we call it reclaiming what was never protected. Because scent formulas can be patented, and maybe that's how it should be. And it actually worked. Maybe a little too well. Once people started realizing they could smell like Tom Ford, LV, and Creed for $14 instead of $400, the industry started noticing. Our ads got flagged, and our pages got reported. And for a while, it felt like we weren't supposed to exist. But then something wild happened. People started sharing our story, and the reviews poured in. And then this pay went from an idea to over 250,000 bottles sold. We're not here to destroy luxury, we're here to redefine it. So if you've been meaning to make the switch, try the fragrance brand they don't want you to find. There'll be a sixth sense set for $79.95 with a 100% money back guarantee, even if they're open. Because smelling expensive shouldn't make you broke.",duppescents,2025-12-17T00:20:30.000Z,99113,1589,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=18"", ""raw/05-ig-seed-transcripts-items.json#row=132""]",S059,* Birkin letter,Video,False,https://www.instagram.com/p/DSWB_i_ALqB/,"[""new_brand"", ""designer_spend"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,98,75
ig:DbFo_S9gMpk,instagram,https://www.instagram.com/p/DbFo_S9gMpk/,"Maturing as a man is realizing you need a bag too. Which is something most of us figure out about 10 years after we should have, usually right around the moment our jacket pockets give up and the plastic dopp kit we'd been carrying starts to feel less like a workaround and more like an admission.

Which makes this bag, as it turns out, the quietest possible answer to: woven pebbled Dutch calfskin, structured base, 7.8 inches wide, small enough to wear under a jacket.

It fits your phone, wallet, airpods, keys, passport when you travel (and the small notebook you started carrying around the time you turned thirty-something, obviously). 

This bag is on Vellatini under Annamo. And it's nearly gone. A few are left.

Don't be the person searching for it after it sells out.",Not everyone needs a big bag. I do.,vellatini,2026-07-22T08:16:42.000Z,136,6,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=19"", ""raw/05-ig-seed-transcripts-items.json#row=138""]",S100,,Video,False,https://www.instagram.com/p/DbFo_S9gMpk/,"[""euro_trip"", ""social_judgment"", ""quality_material"", ""logo_independence"", ""seasonal_woven"", ""travel_scale""]",handbag_context,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,2,2
ig:Da4Lm_EjYuz,instagram,https://www.instagram.com/p/Da4Lm_EjYuz/,Stop saving the good stuff for later. Life's too short to carry things you don't actually enjoy using.,What's in this bag? Probably everything you're looking for.,vellatini,2026-07-17T02:50:12.000Z,15,2,1702,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=20"", ""raw/05-ig-seed-transcripts-items.json#row=68""]",S053,,Video,False,https://www.instagram.com/reel/Da4Lm_EjYuz/,[],handbag_context,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,1,1
ig:DbbRz2SgFfY,instagram,https://www.instagram.com/p/DbbRz2SgFfY/,"The Cuban Link Chain from JAXXON has over 100,000+ 5-Star Reviews for a reason. It’s featured in Forbes, Entrepreneur and GQ voted it the best men’s chain. Shop now at JAXXON.com","Girls, if your man isn't wearing a chain yet, you're both missing out. I don't know what it is, but ever since my man got this chain, I cannot keep my hands off of him. He just looks more put together, more intentional, like he did something on purpose. And the guys that know how to wear it right, you can just tell by the way that everyone looks at them. I gifted him this one from Jackson, it's real gold bonded, doesn't fade, doesn't tarnish. He's had it for months and it still looks so good on him. And it's got a 365 day warranty, so it's built to actually last. If you want your girl looking at you like that, click the link below.",jaxxon,2026-07-30T17:57:27.000Z,1292,33,0,"[""01-ig-seeds"", ""05-ig-seed-transcripts""]","[""raw/01-ig-seeds-items.json#row=21"", ""raw/05-ig-seed-transcripts-items.json#row=21""]",S161,* gf angle,Video,False,https://www.instagram.com/p/DbbRz2SgFfY/,"[""outfit_upgrade"", ""social_judgment"", ""gifting"", ""purchase_trigger""]",adjacent_fashion_or_other,lexical screening of creator caption/transcript; review source before bag-specific claims,automatic_unverified,2026-09-11,16,13
