tracker,slug,product,buyer,analysis,website,inventory_active_ads,inventory_status,representative_ad_id,ad_days_running,ad_media_url,ad_landing_page,source_file
Neural Health Report,neural-health-report,Mixed tracker: Sanlava metabolic supplements and Sakureva topical foot care,Multiple unrelated health and personal-care audiences,"This is not a clean additional supplement business. Its observed destinations overlap Sanlava, while its available transcripts include a topical heel stick. The latter were excluded from supplement-mechanism conclusions. The metabolic ads offer a broader explanation for energy, cravings and body changes and lead to Sanlava's blood-sugar proposition. The portfolio comparison must therefore retain the entry for completeness without counting it as an independent proof that another supplement brand scaled. Its mixed history illustrates how page names, domain associations and tracker totals can exaggerate the apparent number of comparable businesses. It supplies positioning evidence, not a separate set of verified economics.",https://www.sanlava.com/pages/metabolic-switch,0,inactive,facebook_1499479694900651,32,https://medias.trendtrack.io/facebook/video/656de7a5fd249040b1ffbad39d2f792df70d815f5d4a4422b258540ce570967c.mp4,https://www.sanlava.com/pages/metabolic-switch,neural-health-report-established.json
avaRoot,avaroot,"Urinary-support formulas, including a current cranberry-gummy offer",Women frustrated by recurring urinary problems and repeat treatment routines,"The argument distinguishes recurrence prevention and a protective environment from dealing with the current episode. Cranberry standardization and selected microbes are used to make the product choice sound specific. The current gummy offer is another counterexample to a blanket claim that serious concerns cannot be marketed with gummies. However, ingredient descriptions differ across sampled transcripts, long copy and current surfaces; the ad's precise dose and strain claims must not be assumed to describe every SKU. The tracker inventory reports no active ads while historical/all-page results remain available, so this is not a verified current scaling case. Neither recurrence prevention nor comparative efficacy is established by the marketing materials.",https://avaroot.com/products/cranberry-uti-formula,0,inactive,facebook_1324311699620114,35,https://medias.trendtrack.io/facebook/image/f53e5f78d26c357e8bcf12e1d8a46e3d4fd3d0008699fd275ff9af4eac21558f.jpg,https://avaroot.com/,avaroot-established.json
jevawell,jevawell,Kombucha probiotic gummies,People with chronic constipation or GLP-1 digestive concerns,"The selected long native uses a family history, extensive failed-remedy narrative and a claimed overlooked cause to introduce a concentrated kombucha formula. It explicitly confronts disbelief that a gummy could address the problem, then uses complementary ingredient roles and a gradual outcome story to make the purchase plausible. This is very close in structure to Motilli's strongest native, not evidence that Motilli lacks sufficient storytelling sophistication. The sampled creative is old enough to study but has weak or absent reported reach; it cannot certify current profitable deployment. The public product page was accessible through web retrieval after direct-fetch problems. Its medical narratives and testimonials were not authenticated.",https://jevawell.com/products/kgcc1,187,active,facebook_1017703707284373,72,https://medias.trendtrack.io/facebook/image/0416b42697c8fec3274319def076971379b89a5b66b165201adfd42be4312726.jpg,http://jevawell.com/products/kgcc,jevawell-established.json
NT.CO,nt-co,Oregano drops and pumpkin-seed-oil bladder products,People dissatisfied with gut urgency or bladder leakage and symptom-management routines,"Nutrition Therapy uses a wrongly-addressed-problem explanation, then differentiates a liquid delivery format and ingredient quality. The oregano story argues that a previous diagnostic label obscured the cause; the pumpkin-seed page applies a different product to bladder concerns. This is a product portfolio rather than a single constipation formula. The exact liquid-versus-capsule superiority and diagnostic claims were not validated. Its commercial lesson is a clear functional job for the format and distinct product routes for distinct concerns. That does not mean Motilli can gain the same advantage simply by announcing that gummies absorb better. The format argument has to correspond to the finished product and a relevant, substantiated customer improvement.",https://nutritiontherapy.co/products/oil-of-oregano,1239,active,facebook_2496269970881279,65,https://medias.trendtrack.io/facebook/video/ca78c6e8acbfe1adef62bc9e77fdb6d67e387f46ab43316cd47253f6dc42ec15.mp4,https://nutritiontherapy.co/products/oil-of-oregano,nt-co-established.json
Sanlava,sanlava,Turmeric/ginger/black-pepper and berberine products,People worried about urinary/kidney symptoms or metabolic health,"Sanlava's turmeric story creates a detailed quality checklist around extract purity, processing and absorption. It converts a familiar kitchen ingredient into a proposed specialist purchase. Separate metabolic products broaden the business's possible acquisition paths. The inspected materials do not establish the claims that the product restores kidney function, that ordinary turmeric inevitably harms the intended buyer, or that a quoted absorption result transfers to the advertised outcome. Some guarantee text conflicts. The tracked inventory's inactivity and low delivery coverage mean this is not reliable evidence of a currently profitable competitor. The useful lesson is specificity of a product-selection argument, tempered by the need to verify every attribute and its actual relevance.",https://www.sanlava.com/pages/urinary-warning-signs,0,inactive,facebook_1589939552032073,78,https://medias.trendtrack.io/facebook/video/c6e30a3ecb591fc04a2015552c7c8d18e175190cea816632346d1c435e6074e0.mp4,https://www.sanlava.com/pages/urinary-warning-signs,sanlava-established.json
Zylara,zylara,Vitarosa sublingual B-complex drops,People with diabetes who are concerned about nerve symptoms and medication-related nutrient depletion,"The selected narrative connects a named medication, a recognizable nutrient issue and a delivery/formulation checklist. It differentiates active nutrient forms and the absence of B6, rather than offering undifferentiated nerve support. A genuine biological association can make an argument initially plausible without validating its later leaps: the ad does not prove that every neuropathy case has that cause, that ordinary oral B12 cannot work, or that the product reverses disability. The current product is branded Vitarosa although the tracker is Zylara. For Motilli, the relevant comparison is a concrete customer situation and a formulation attribute tied to it; this is not a recommendation to enter neuropathy or copy the medical claims.",https://tryvitarosa.com/products/sublingual-b-complex-drops,74,active,facebook_1204702492734334,30,https://medias.trendtrack.io/facebook/image/27670ea23da7cfa9cd8419abf7f7ca5ed04d36168e1f3edc605b03d1aa8b267c.webp,https://tryvitarosa.com/products/sublingual-b-complex-drops,zylara-established.json
Alevia,alevia,"Auniva, formerly Alevia: pomegranate and amla capsules","People worried about metabolic health, cardiovascular concerns and loss of everyday independence","The selected pomegranate native is a long personal story, then distinguishes a standardized extract from juice and generic powder. Current Auniva pages explicitly identify the Alevia rebrand. Multiple product routes and sharply different concerns sit under this business, so its aggregate ad activity cannot be assigned to a single ingredient or mechanism. The inspected amla offer also includes larger bundles and optional refills. Long copy, familiar fruit ingredients and a late product reveal are all present; none is inherently incompatible with paid acquisition. Motilli's next step should compare net customer value and actual response, not assume that Alevia's prose length or fruit-based mechanism is the missing tactic.",https://auniva.co/products/pomegranate-47,1465,active,facebook_2328747984323342,39,https://medias.trendtrack.io/facebook/image/8efc087f4a28cd3fb7932196e4c2d871041e6038f6b21e93603137cf1e3af9a2.jpg,https://alevia.com/products/pomegranate-47,alevia-established.json
The Blood Pressure Journal,the-blood-pressure-journal,Alevia/Auniva amla and pomegranate advertising,"People dissatisfied with blood-pressure symptoms, medication experiences or repeated monitoring","This tracked page overlaps the Alevia/Auniva business and is not an independent brand-level success observation. The amla story gives a proposed vessel-wall explanation for persistent concerns, claims familiar alternatives miss that task and sets an extract-quality checklist. The inspected current amla page reinforces that argument through a multi-month supply and guarantee. Another amla route emphasizes mitochondrial and nerve/joint concerns, showing that the same ingredient is advertised through different purchase stories. Those stories are not validated clinical indications. The stronger comparison is how the product, audience, page and supply offer connect within a route. Motilli must assess that whole route while measuring the customer's actual benefit and contribution.",https://auniva.co/products/amla-74,701,active,facebook_1018845400732206,66,https://medias.trendtrack.io/facebook/image/3167b424310b0a3f46c1db25ce70654af8839d7782525dd3553d2fbd6ab9c6d0.jpg,https://alevia.com/products/amla-74,the-blood-pressure-journal-established.json
GLP-1 SOS Supplements,glp-1-sos-supplements,Medication-companion digestive capsules and adjacent products,GLP-1 users seeking digestive comfort while continuing treatment,"The formula story is immediately attached to the medication context. Longer material assigns magnesium and ginger complementary jobs; short current testimonials rely more on relevance and a reported return to regularity. The offer sells continuing the valued medication experience, not only an ingredient. However, Motilli's strongest native already includes that exact desired outcome and a three-part ingredient story. The remaining plausible differences include prior ingredient familiarity, finished-product experience, offer economics and retention; the advertising data do not isolate them. Broad claims that ordinary remedies cannot work on GLP-1s remain unsupported. Active counts and duplicated scripts provide deployment evidence, not proof of the advertised reorder rate or profitable scale.",https://glp1sos.com/products/glp1capsules,494,active,facebook_26669257439425433,118,https://medias.trendtrack.io/facebook/image/83253a5be9cbbf78aa29db16c07342e1aaec4b225ff388bb83d4af75dec6ad0a.jpg,https://glp1sos.com/pages/adv2,glp-1-sos-supplements-established.json
AuraVanna,auravanna,Mixed health-advertising tracker spanning multiple destination brands,"Different audiences for vision, balance, respiratory and other concerns across languages","The tracker is not accurately described by its primary listed domain, Bing. Actual ads lead to condition-specific destinations such as Zifanna and Vondrao; an available transcript promotes Esovera. The repeated structure names an overlooked process, explains why familiar remedies allegedly miss it and assigns the product's delivery method a direct job. The destinations span different products, countries and languages, making this a poor one-to-one benchmark for Motilli's US constipation gummy. Its breadth illustrates why a tracked page can appear highly active without representing a single scaled formula. The selected sales claims and endorsements were not authenticated, and no shared ownership or common financial performance across all destinations is inferred.",https://www.zifanna.com/UK/vision-loss,230,active,facebook_38099750479615920,35,https://medias.trendtrack.io/facebook/image/63cdcb199e72fde8cc1747dd9bb5c446401a337d16741adfbcbe47d39db88b48.png,https://www.zifanna.com/UK/vision-loss,auravanna-established.json
